AAC73770	nagC
AAC73771	nagA
AAC73772	nagB
AAC73773	nagE
AAC73774	glnS
AAC73775	chiP
AAC73776	chiQ
AAC73777	fur
ABV59574	uof
AAC73778	fldA
AAC73779	ybfE
AAC73780	ybfF
AAC73781	seqA
AAC73782	pgm
AAC73783	ybfP
AAC73786	potE
AAC73787	speF
ABP93437	ybfK
AAC73788	kdpE
AAC73789	kdpD
AAC73790	kdpC
AAC73791	kdpB
AAC73792	kdpA
ABD18643	kdpF
AAC73793	ybfA
AAC73794	rhsC
AAC73796	ybfB
AAC73798	ybfC
AAC73800	ybfD
AAC73801	ybgA
AAC73802	phr
AAC73803	dtpD
AAC73804	ybgI
AAC73805	ybgJ
AAC73806	ybgK
AAC73807	ybgL
AAC73808	nei
AAC73809	abrB
AAC73810	ybgO
AAC73811	ybgP
AAC73812	ybgQ
AAC73813	ybgD
AAC73814	gltA
AAC73815	sdhC
AAC73816	sdhD
AAC73817	sdhA
AAC73818	sdhB
AAC73820	sucA
AAC73821	sucB
AAC73822	sucC
AAC73823	sucD
AAC73824	mngR
AAC73825	mngA
AAC73826	mngB
AAC73827	cydA
AAC73828	cydB
ABD18645	cydX
AAC73829	ybgE
AAC73830	ybgC
AAC73831	tolQ
AAC73832	tolR
AAC73833	tolA
AAC73834	tolB
AAC73835	pal
AAC73836	ybgF
AAC73837	nadA
AAC73838	pnuC
AAC73839	zitB
AAC73840	ybgS
AAC73841	aroG
AAC73842	gpmA
AAC73843	galM
AAC73844	galK
AAC73845	galT
AAC73846	galE
AAC73847	modF
AAC73848	modE
AAC73849	acrZ
AAC73850	modA
AAC73851	modB
AAC73852	modC
AAC73853	ybhA
AAC73854	pgl
AAC73855	ybhD
AAC73856	ybhH
AAC73857	ybhI
AAC73858	ybhJ
AAC73859	ybhC
AAC73860	ybhB
AAC73861	bioA
AAC73862	bioB
AAC73863	bioF
AAC73864	bioC
AAC73865	bioD
AAC73866	uvrB
AAC73867	ybhK
AAC73868	moaA
AAC73869	moaB
AAC73870	moaC
AAC73871	moaD
AAC73872	moaE
AAC73873	ybhL
AAC73874	ybhM
AAC73875	ybhN
AAC73876	clsB
AAC73877	ybhP
AAC73878	ybhQ
AAC73879	ybhR
AAC73880	ybhS
AAC73881	ybhF
AAC73882	ybhG
AAC73883	ybiH
AAC73884	rhlE
AAC73885	ybiA
AAC73886	dinG
AAC73887	ybiB
AAC73888	ybiC
AAC73889	ybiJ
AAC73890	ybiI
AAC73891	ybiX
AAC73892	fiu
AAC73893	mcbA
AAC73894	rlmF
AAC73895	ybiO
AAC73896	glnQ
AAC73897	glnP
AAC73898	glnH
AAC73899	dps
AAC73900	rhtA
AAC73901	ompX
AAC73902	opgE
AHA50631	mntS
AAC73904	mntR
AAC73905	ybiR
AAC73906	ldtB
AAC73907	ybiT
AAC73908	ybiU
AAC73909	ybiV
AAC73910	ybiW
AAC73911	ybiY
AAC73912	fsaA
AAC73913	moeB
AAC73914	moeA
AAC73915	iaaA
AAC73916	gsiA
AAC73917	gsiB
AAC73918	gsiC
AAC73919	gsiD
AAC73920	yliE
AAC73921	yliF
AAC73922	rimO
AAC73923	bssR
AAC73924	yliI
AAC73925	gstB
AAC73926	dacC
AAC73927	deoR
AAC73928	ybjG
AAC73929	mdfA
AAC73930	ybjH
AAC73931	ybjI
AAC73932	ybjJ
AAC73933	rcdA
AAC73934	ybjL
AAC73935	ybjM
AAC73936	grxA
AAC73937	ybjC
AAC73938	nfsA
AAC73939	rimK
AAC73940	ybjN
AAC73941	potF
AAC73942	potG
AAC73943	potH
AAC73944	potI
AAC73945	ybjO
AAC73946	rlmC
AAC73947	artJ
AAC73948	artM
AAC73949	artQ
AAC73950	artI
AAC73951	artP
AAC73952	ybjP
AAC73953	ybjQ
AAC73954	amiD
AAC73955	ybjS
AAC73956	ybjT
AAC73957	ltaE
AAC73958	poxB
AAC73959	hcr
AAC73960	hcp
AAC73961	ybjE
AAC73962	aqpZ
AAC73963	ybjD
AAC73964	ybjX
AAC73965	macA
AAC73966	macB
AAC73967	cspD
AAC73968	clpS
AAC73969	clpA
AAC73970	infA
AAC73971	aat
AAC73972	cydC
AAC73973	cydD
AAC73974	trxB
AAC73975	lrp
AAC73976	ftsK
AAC73977	lolA
AAC73978	rarA
AAC73979	serS
AAC73980	dmsA
AAC73981	dmsB
AAC73982	dmsC
AAC73983	ycaC
AAC73984	ycaD
AAC73985	ycaM
AAC73986	ycaN
AAC73987	ycaK
AAC73988	pflA
AAC73989	pflB
AAC73990	focA
AAC73991	ycaO
AAC73992	ycaP
AAC73993	serC
AAC73994	aroA
AAC73995	ycaL
AAC73996	cmk
AAC73997	rpsA
AAC73998	ihfB
AAC73999	ycaI
AAC74000	msbA
AAC74001	lpxK
AAC74002	ycaQ
AAC74003	ycaR
AAC74004	kdsB
AAC74005	ycbJ
AAC74006	elyC
AAC74007	smtA
AAC74008	mukF
AAC74009	mukE
AAC74010	mukB
AAC74011	ldtD
AAC74012	ycbK
AAC74013	ycbL
AAC74014	aspC
AAC74015	ompF
AAC74016	asnS
AAC74017	pncB
AAC74018	pepN
AAC74019	ssuB
AAC74020	ssuC
AAC74021	ssuD
AAC74022	ssuA
AAC74023	ssuE
AAC74024	elfA
AAC74025	elfD
AAC74026	elfC
AAC74027	elfG
AAC74028	ycbU
AAC74029	ycbV
AAC74030	ycbF
AAC74031	pyrD
AAC74032	zapC
AAC74033	ycbX
AAC74034	rlmL
AAC74035	uup
AAC74036	pqiA
AAC74037	pqiB
AAC74038	pqiC
AAC74039	rmf
AAC74040	fabA
AAC74041	ycbZ
AAC74042	matP
AAC74043	ompA
AAC74044	sulA
AAC74045	sxy
AAC74046	yccS
AAC74047	yccF
AAC74048	helD
AAC74049	mgsA
AAC74050	yccT
AAC74051	yccU
AAC74052	hspQ
AAC74053	rlmI
AAC74054	yccX
AAC74055	tusE
AAC74056	yccA
AAC74057	hyaA
AAC74058	hyaB
AAC74059	hyaC
AAC74060	hyaD
AAC74061	hyaE
AAC74062	hyaF
AAC74063	cbdA
AAC74064	cbdB
ABP93439	cbdX
AAC74065	appA
AAC74066	etk
AAC74067	etp
AAC74068	gfcE
AAC74069	gfcD
AAC74070	gfcC
AAC74071	gfcB
AAC74072	gfcA
ABD18646	insA
AAC74073	insB1
AAC74074	cspH
AAC74075	cspG
AAC74076	ymcE
ABD18647	gnsA
AAC74077	yccM
AAC74078	torS
AAC74079	torT
AAC74080	torR
AAC74081	torC
AAC74082	torA
AAC74083	torD
AAC74084	cbpM
AAC74085	cbpA
AAC74086	yccE
AAC74087	agp
AAC74088	yccJ
AAC74089	wrbA
AAC74090	ymdF
AAC74091	rutG
AAC74092	rutF
AAC74093	rutE
AAC74094	rutD
AAC74095	rutC
AAC74096	rutB
AAC74097	rutA
AAC74098	rutR
AAC74099	putA
AAC74100	putP
AAC74103	efeO
AAC74104	efeB
AAC74105	phoH
AAC74106	pgaD
AAC74107	pgaC
AAC74108	pgaB
AAC74109	pgaA
AAC74110	ycdT
AAC74111	insF1
AAC74112	insE1
AAC74114	ycdU
AAC74117	ghrA
AAC74118	ycdX
AAC74119	ycdY
AAC74120	ycdZ
AAC74121	csgG
AAC74122	csgF
AAC74123	csgE
AAC74124	csgD
AAC74125	csgB
AAC74126	csgA
AAC74127	csgC
AAC74128	ymdA
AAC74129	ymdB
AAC74130	clsC
AAC74131	opgC
AAC74132	opgG
AAC74133	opgH
AAC74134	yceK
AAC74135	msyB
AAC74137	mdtG
AAC74138	lpxL
AAC74139	yceA
AAC74140	yceI
AAC74141	yceJ
AAC74142	yceO
AAC74143	solA
AAC74144	bssS
AAC74145	dinI
AAC74146	pyrC
AAC74147	yceB
AAC74148	grxB
AAC74149	mdtH
AAC74150	rimJ
AAC74151	yceH
AAC74152	yceM
AAC74153	murJ
AAC74154	flgN
AAC74155	flgM
AAC74156	flgA
AAC74157	flgB
AAC74158	flgC
AAC74159	flgD
AAC74160	flgE
AAC74161	flgF
AAC74162	flgG
AAC74163	flgH
AAC74164	flgI
AAC74165	flgJ
AAC74166	flgK
AAC74167	flgL
AAC74168	rne
AAC74169	yceQ
AAC74170	rluC
AAC74171	yceF
AAC74172	yceD
AAC74173	rpmF
AAC74174	plsX
AAC74175	fabH
AAC74176	fabD
AAC74177	fabG
AAC74178	acpP
AAC74179	fabF
AAC74180	pabC
AAC74181	yceG
AAC74182	tmk
AAC74183	holB
AAC74184	ycfH
AAC74185	ptsG
AAC74186	fhuE
AAC74187	hinT
AAC74188	ycfL
AAC74189	lpoB
AAC74190	thiK
AAC74191	nagZ
AAC74192	ycfP
AAC74193	ndh
AAC74194	ycfJ
AAC74195	ycfQ
AAC74196	bhsA
AAC74197	ldtC
AAC74198	mfd
AAC74199	ycfT
AAC74200	lolC
AAC74201	lolD
AAC74202	lolE
AAC74203	nagK
AAC74204	cobB
AAC74205	ycfZ
AAC74206	ymfA
AAC74207	potD
AAC74208	potC
AAC74209	potB
AAC74210	potA
AAC74211	pepT
AAC74212	roxA
AAC74213	phoQ
AAC74214	phoP
AAC74215	purB
AAC74216	hflD
AAC74217	mnmA
AAC74218	nudJ
AAC74219	rluE
AAC74220	icd
AAC74221	ymfD
AAC74222	ymfE
AAC74223	lit
AAC74224	intE
AAC74225	xisE
AAC74227	ymfI
AAC74228	ymfJ
AAC74229	cohE
AAC74230	croE
AAC74231	ymfL
AAC74232	ymfM
AAC74234	ymfR
AAC74237	ymfQ
AAC74238	stfP
AAC74239	tfaP
AAC74240	tfaE
AAC74242	pinE
AAC74243	mcrA
AAC74244	iraM
AAC74245	ycgX
AAC74246	bluR
AAC74247	bluF
AAC74248	ycgZ
AAC74249	ymgA
AAC74250	ariR
AAC74251	ymgC
AAC74252	ycgG
ABD18651	ymgF
AAC74255	ymgD
AAC74256	ymgG
ABP93440	ymgI
ABP93441	ymgJ
AAC74258	minE
AAC74259	minD
AAC74260	minC
AAC74261	ycgJ
AAC74262	pliG
AAC74263	ycgL
AAC74264	ycgM
AAC74265	ycgN
AAC74266	hlyE
AAC74267	umuD
AAC74268	umuC
AAC74269	dsbB
AAC74270	nhaB
AAC74271	fadR
AAC74272	ycgB
AAC74273	dadA
AAC74274	dadX
AAC74275	cvrA
AAC74276	ldcA
AAC74277	emtA
