data.ecoli_state1_rep1	data.ecoli_state2_rep1	data.ecoli_state2_rep2	data.ecoli_state1_rep2
AAC73368	25.396521465804	45.5020516016319	37.0550336940912	87.0657348995595
AAC73370	1.76423730473637	3.69995500306574	1.90419040994058	5.18232138875193
AAC73371	672.674029025043	630.984918881185	490.063906654886	181.452539800025
AAC73372	706.660362039577	879.970464654632	1516.15804051815	301.171183848954
AAC73373	24.6663458680898	75.6078032385339	85.205435331893	31.4952295882494
AAC73374	36.2067162613051	60.6447651153146	41.1779776832771	36.7110476609093
AAC73375	26.924975481515	46.0261069210196	47.2803426231172	32.413064686012
AAC73376	12.1797982444153	15.9680177257779	20.9615073824217	20.1499531989868
AAC73377	16.9918670797422	25.4270469897721	28.4235253301996	15.6754722778645
AAC73378	25.396521465804	45.5020516016319	37.0550336940912	87.0657348995595
AAC73380	21.7136899044476	36.732886607013	16.5029835528184	32.7091973367979
AAC73381	11.9425294474462	6.62925271179923	8.06812529248898	19.6632080121787
AAC73382	9.85732589313019	3.39890046327675	0	5.92265301571649
AAC73383	163.424087175579	123.610192623364	87.1052663156705	105.153067577282
AAC73384	53.8239345603796	27.9812265271082	25.7974087693196	15.8847191481428
AAC73386	16.869866771917	6.97427415685296	7.55166111292675	6.37824170923314
AAC73387	0.341215127069891	6.05097403023899	3.61735727399506	5.27962211686727
AAC73388	7.85033404237721	1.92818167865935	2.17001756118585	0
AAC73389	0	3.75223863117876	5.54467025176908	0
AAC73390	17.4971943067235	15.4168667716261	33.9178791365816	3.03019456618053
AAC73391	0	5.33326847288755	16.1201304545234	13.8451628938827
AAC73392	9.60085700677047	6.95939248766013	4.50257369264091	4.64521805154234
AAC73393	9.09023600659981	10.8446577569084	12.6776218188176	9.98225789833381
AAC73394	5.07815838061989	4.49603102411534	3.62095192360445	4.80254682114959
AAC73395	5.02843345155629	2.96417447756277	0	0.748124591458925
AAC73396	11.1365918773731	14.9724150502659	7.61503095090985	29.0682356599582
AAC73397	2.33024964828218	0	0	3.46691883846819
AAC73398	217.74286248367	30.8337335432522	24.8250008999661	46.2793351925753
AAC73399	1438.31481927061	11.3065291625216	0	21.5369200571509
AAC73401	27.2360970085041	19.4735940180181	19.5635827987793	31.5403372538454
AAC73402	16.2343759676222	10.5598715763174	8.14570342030138	17.8419922098459
AAC73404	0	3.19996108373253	1.80545461090663	5.16886081371621
AAC73406	0	3.82604042620194	0	0
AAC73407	0	0	3.39902212811272	1.10054188067103
AAC73408	4.170407108632	3.67826214518991	0	0
